#{"t_start": 1740379874.6132984, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,168,207.372593
3.0,303,208.085436
2.0,240,208.656742
3.0,284,209.394563
2.0,265,210.020017
1.0,199,210.512126
2.0,236,211.138139
2.0,229,211.672018
1.0,211,212.186603
4.0,334,212.998291
2.0,228,213.574411
3.0,266,214.222091
2.0,236,214.777254
0.0,180,215.172096
3.0,287,215.858444
1.0,222,216.347641
1.0,206,216.843996
3.0,264,217.530005
3.0,257,218.236021
2.0,263,218.875505
5.0,384,219.825984
2.0,249,220.446333
1.0,184,220.878624
1.0,190,221.314954
3.0,302,222.041515
1.0,186,222.478067
1.0,212,222.970321
3.0,240,223.594552
4.0,350,224.409572
4.0,360,225.211776
3.0,310,225.970506
3.0,275,226.587515
2.0,250,227.150989
2.0,250,227.681884
4.0,326,228.480103
4.0,313,229.234948
1.0,203,229.733661
1.0,209,230.202847
2.0,253,230.874182
1.0,228,231.377736
2.0,236,232.133487
0.0,163,232.514784
1.0,199,232.954117
2.0,241,233.505075
0.0,180,233.891431
0.0,183,234.278303
2.0,226,234.77933
3.0,276,235.407118
3.0,283,236.105385
1.0,212,236.591917
3.0,290,237.2925
3.0,282,237.917336
0.0,171,238.297399
1.0,190,238.716758
0.0,175,239.083493
0.0,159,239.451463
2.0,243,239.990853
1.0,218,240.463268
3.0,261,241.051859
0.0,161,241.426366
2.0,216,241.957606
1.0,209,242.439459
2.0,213,242.952116
1.0,189,243.392027
1.0,208,243.882956
0.0,183,244.295088
0.0,165,244.671297
4.0,331,245.401397
3.0,286,246.032523
2.0,243,246.560414
2.0,236,247.129977
2.0,264,247.712346
3.0,281,248.3783
1.0,210,248.8919
3.0,281,249.541227
2.0,256,250.086421
3.0,300,250.790531
2.0,241,251.383783
2.0,254,251.989915
5.0,336,252.765947
2.0,204,253.303891
0.0,157,253.686515
4.0,312,254.463603
2.0,254,255.08768
0.0,170,255.440062
0.0,157,255.836803
0.0,166,256.22171
3.0,279,256.955864
4.0,299,257.699264
1.0,201,258.13854
1.0,205,258.614678
2.0,254,259.157114
1.0,197,259.631029
4.0,336,260.461914
2.0,245,261.093996
1.0,191,261.518447
1.0,178,261.899668
3.0,280,262.573137
4.0,312,263.260156
1.0,192,263.758339
2.0,237,264.326616
4.0,331,265.127326
2.0,227,265.709414
2.0,219,266.25041
2.0,233,266.769652
2.0,246,267.329179
2.0,228,267.840484
2.0,245,268.366751
2.0,241,268.900559
1.0,219,269.381746
2.0,240,270.031728
4.0,347,270.86286
1.0,187,271.311341
2.0,213,271.861422
2.0,240,272.455779
1.0,186,272.891309
1.0,174,273.285488
2.0,247,273.872617
2.0,227,274.386187
3.0,284,275.074845
3.0,291,275.744282
1.0,216,276.201889
1.0,198,276.656214
0.0,168,277.058894
2.0,235,277.649336
1.0,208,278.138649
1.0,208,278.588121
4.0,314,279.366175
1.0,221,279.851577
1.0,190,280.293255
4.0,311,281.06624
3.0,262,281.671598
2.0,260,282.230597
2.0,243,282.778506
2.0,249,283.339464
2.0,229,283.843707
1.0,201,284.354947
2.0,239,284.931845
2.0,254,285.505916
1.0,201,285.983512
2.0,265,286.587074
2.0,242,287.156511
2.0,237,287.685041
3.0,286,288.589348
2.0,234,289.369601
0.0,175,289.806707
0.0,164,290.254668
4.0,353,291.17371
0.0,146,291.500256
4.0,314,292.258927
0.0,173,292.626086
2.0,234,293.257117
4.0,300,293.954941
2.0,247,294.544317
0.0,163,294.909073
4.0,327,295.657947
2.0,268,296.299891
0.0,168,296.709832
1.0,196,297.174443
2.0,231,297.70744
4.0,340,298.469794
2.0,246,299.068585
2.0,246,299.640535
0.0,182,300.033747
0.0,174,300.430259
2.0,258,300.989694
0.0,168,301.343708
3.0,309,302.137289
1.0,184,302.559582
2.0,237,303.070713
3.0,287,303.766578
6.0,393,304.716747
3.0,294,305.418682
4.0,328,306.242905
1.0,200,306.685162
2.0,226,307.172267
4.0,288,307.869265
2.0,245,308.427104
0.0,168,308.798885
3.0,265,309.446073
3.0,266,310.110854
5.0,355,310.966085
4.0,307,311.811718
