#{"t_start": 1740424077.2655869, "env_id": "ALE/Breakout-ram-v5"}
r,l,t
2.0,179,96.611888
3.0,223,96.849728
2.0,195,97.062157
1.0,149,97.22642
0.0,120,97.357686
0.0,120,97.488856
2.0,195,97.698996
2.0,195,97.91261
2.0,179,98.107322
2.0,177,98.298886
1.0,148,98.459558
3.0,224,98.699454
0.0,120,98.830567
1.0,149,98.991233
3.0,210,99.216869
3.0,228,99.462022
0.0,121,99.593887
3.0,223,99.832053
1.0,149,99.99298
2.0,195,100.203652
3.0,225,100.443524
2.0,196,100.653144
2.0,179,100.848469
0.0,121,100.981398
2.0,195,101.190429
3.0,210,101.416642
0.0,120,101.547834
3.0,210,101.774693
0.0,120,101.905785
0.0,120,102.037039
0.0,120,102.168288
3.0,210,102.393578
2.0,195,102.602456
3.0,223,102.840882
2.0,179,103.031997
0.0,121,103.166537
0.0,120,103.297532
2.0,196,103.506971
2.0,179,103.698944
1.0,149,103.862265
2.0,196,104.071128
1.0,148,104.230987
1.0,149,104.39164
0.0,120,104.523923
3.0,210,104.748151
0.0,120,104.881385
2.0,195,105.092663
0.0,120,105.227271
2.0,195,105.439019
2.0,215,105.67199
2.0,195,105.881545
2.0,179,106.080854
2.0,179,106.27624
0.0,120,106.409658
0.0,120,106.542471
0.0,120,106.677211
1.0,148,106.839943
1.0,148,107.002445
3.0,223,107.243057
3.0,223,107.483099
0.0,120,107.61641
8.0,462,108.104934
2.0,195,108.316083
1.0,148,108.480431
2.0,196,108.691786
0.0,120,108.825122
2.0,179,109.018851
2.0,195,109.232018
1.0,148,109.393861
3.0,225,109.636518
2.0,196,109.848095
2.0,195,110.061139
2.0,195,110.272168
2.0,195,110.483707
0.0,120,110.617466
3.0,225,110.864263
2.0,179,111.059866
2.0,195,111.270394
2.0,195,111.481905
3.0,223,111.723712
5.0,341,112.083652
1.0,150,112.248807
0.0,120,112.382118
2.0,195,112.593241
3.0,223,112.83351
3.0,210,113.06158
3.0,223,113.300763
1.0,148,113.46466
1.0,148,113.62488
1.0,148,113.787393
2.0,195,113.999223
2.0,195,114.212292
4.0,270,114.502137
2.0,195,114.714384
3.0,210,114.942896
0.0,120,115.077833
0.0,121,115.212261
0.0,120,115.34594
3.0,210,115.572661
2.0,196,115.786791
2.0,196,115.999785
2.0,195,116.211526
2.0,179,116.406492
2.0,195,116.619813
0.0,120,116.753521
2.0,179,116.948539
2.0,195,117.160573
2.0,195,117.374197
4.0,251,117.644642
2.0,195,117.855838
2.0,196,118.066622
1.0,150,118.234398
2.0,180,118.430864
2.0,195,118.642774
0.0,120,118.776635
2.0,195,118.988144
3.0,210,119.216763
3.0,223,119.458136
2.0,195,119.810087
2.0,195,120.029142
2.0,196,120.23954
4.0,241,120.499593
2.0,195,120.710097
2.0,195,120.921218
3.0,227,121.164179
3.0,224,121.403373
3.0,223,121.640543
3.0,210,121.867762
2.0,195,122.076911
2.0,179,122.268567
0.0,120,122.399827
2.0,195,122.610694
2.0,195,122.820331
2.0,195,123.029212
2.0,195,123.236155
2.0,179,123.43014
2.0,195,123.639539
2.0,195,123.848379
3.0,210,124.072443
2.0,179,124.266356
3.0,210,124.490517
2.0,179,124.68373
2.0,195,124.892911
2.0,196,125.103851
2.0,197,125.3148
3.0,210,125.540448
0.0,120,125.671537
2.0,195,125.880802
2.0,195,126.090083
3.0,210,126.31648
3.0,223,126.553241
2.0,195,126.764249
0.0,120,126.895264
2.0,179,127.08906
0.0,120,127.22046
3.0,244,127.482124
2.0,195,127.690997
0.0,120,127.822878
3.0,210,128.047346
0.0,120,128.180357
0.0,121,128.312786
2.0,179,128.505611
0.0,120,128.636836
0.0,120,128.769594
2.0,195,128.979655
0.0,120,129.110398
2.0,195,129.319932
0.0,120,129.452488
0.0,120,129.584521
3.0,210,129.809187
2.0,195,130.018144
1.0,166,130.197801
0.0,120,130.32914
1.0,148,130.489614
3.0,210,130.716071
0.0,121,130.849557
0.0,120,130.980919
2.0,195,131.19028
3.0,210,131.415083
2.0,195,131.626308
0.0,121,131.757961
3.0,207,131.982557
1.0,149,132.143661
4.0,290,132.453652
2.0,195,132.665443
2.0,196,132.879194
1.0,148,133.039875
0.0,120,133.17298
3.0,243,133.430715
2.0,195,133.639549
2.0,195,133.849097
2.0,179,134.046244
2.0,196,134.259431
2.0,179,134.454273
2.0,195,134.666836
2.0,195,134.884014
1.0,149,135.047975
1.0,149,135.21167
0.0,120,135.345867
1.0,148,135.512093
3.0,210,135.741415
2.0,195,135.953703
3.0,225,136.196823
2.0,195,136.413097
2.0,195,136.624148
1.0,166,136.806945
1.0,148,136.970209
0.0,120,137.107895
1.0,148,137.271572
0.0,120,137.405845
2.0,195,137.618484
2.0,195,137.833773
5.0,309,138.167578
0.0,120,138.30188
0.0,120,138.436778
2.0,195,138.656352
0.0,120,138.793729
0.0,120,138.929057
2.0,195,139.141371
0.0,120,139.279304
2.0,196,139.492143
3.0,243,139.756845
2.0,195,139.969603
1.0,149,140.136962
2.0,179,140.333247
0.0,120,140.467525
1.0,148,140.630528
0.0,120,140.767211
0.0,120,140.901237
0.0,120,141.035285
2.0,195,141.245798
2.0,195,141.461828
2.0,195,141.674812
4.0,259,141.955363
2.0,195,142.165977
3.0,210,142.39903
2.0,195,142.612114
2.0,179,142.807902
3.0,225,143.053696
0.0,120,143.191413
2.0,179,143.386555
2.0,179,143.583623
3.0,223,143.823305
0.0,120,143.958116
4.0,293,144.271805
2.0,195,144.483497
0.0,120,144.617472
1.0,149,144.78468
2.0,197,144.997978
3.0,224,145.239755
3.0,210,145.468272
2.0,195,145.682938
2.0,195,145.890765
1.0,148,146.053442
0.0,120,146.185109
3.0,223,146.427842
4.0,277,146.724547
2.0,179,146.918184
0.0,120,147.051523
2.0,195,147.271525
2.0,195,147.48376
2.0,179,147.679379
2.0,179,147.876344
3.0,223,148.12243
2.0,179,148.31958
3.0,223,148.560537
1.0,166,148.743821
3.0,210,148.975335
4.0,257,149.254419
2.0,177,149.447626
2.0,195,149.78672
1.0,148,149.974564
2.0,196,150.188747
3.0,210,150.419112
2.0,195,150.62956
3.0,210,150.859083
3.0,225,151.101738
3.0,225,151.343616
1.0,148,151.50527
2.0,195,151.718399
0.0,120,151.852478
0.0,120,151.986387
0.0,120,152.120108
3.0,223,152.36318
2.0,179,152.559475
0.0,120,152.693757
2.0,179,152.890226
3.0,223,153.135659
4.0,273,153.427898
1.0,149,153.591835
2.0,195,153.803551
0.0,120,153.941769
0.0,120,154.076397
3.0,223,154.318238
2.0,179,154.513468
0.0,120,154.652322
0.0,120,154.786613
3.0,210,155.012551
2.0,195,155.222742
2.0,195,155.432194
3.0,210,155.65816
2.0,196,155.867884
0.0,120,155.999
0.0,120,156.13155
2.0,196,156.341146
3.0,247,156.604751
0.0,120,156.735684
2.0,196,156.946772
3.0,210,157.170869
0.0,120,157.30832
2.0,195,157.518026
2.0,195,157.731596
3.0,210,157.956667
2.0,195,158.166286
2.0,195,158.376315
2.0,179,158.569419
2.0,179,158.762478
1.0,148,158.922886
2.0,179,159.116021
2.0,195,159.326845
0.0,120,159.458073
0.0,120,159.58917
3.0,223,159.826666
2.0,197,160.041224
2.0,179,160.232895
3.0,210,160.459078
0.0,120,160.590086
3.0,229,160.838834
0.0,121,160.970623
1.0,148,161.130969
2.0,196,161.34066
2.0,179,161.536198
0.0,121,161.670441
3.0,225,161.911608
2.0,195,162.119477
2.0,195,162.331439
4.0,261,162.60934
3.0,210,162.83692
3.0,210,163.061771
2.0,195,163.272602
0.0,120,163.40331
2.0,195,163.612542
2.0,179,163.806359
0.0,120,163.938812
4.0,273,164.228904
2.0,195,164.438242
3.0,223,164.674819
1.0,167,164.85666
0.0,120,164.989218
0.0,120,165.120396
2.0,195,165.330237
2.0,195,165.543884
3.0,223,165.781285
2.0,196,165.99147
2.0,178,166.184182
2.0,195,166.3965
2.0,179,166.587882
2.0,179,166.781024
2.0,195,166.990816
3.0,210,167.216816
3.0,210,167.442891
1.0,148,167.603351
2.0,195,167.813351
0.0,120,167.94613
4.0,260,168.223249
1.0,148,168.383414
2.0,179,168.575413
3.0,210,168.803217
2.0,195,169.012507
3.0,223,169.250222
2.0,196,169.459936
0.0,120,169.592881
2.0,179,169.786337
0.0,121,169.917772
2.0,179,170.110924
0.0,120,170.24383
2.0,195,170.453022
2.0,179,170.645563
3.0,223,170.882033
3.0,223,171.12184
2.0,179,171.31472
2.0,195,171.524153
0.0,120,171.65547
0.0,120,171.788465
2.0,195,171.996582
0.0,120,172.127408
2.0,179,172.320616
2.0,195,172.531568
5.0,322,172.873342
2.0,195,173.082541
2.0,196,173.291905
3.0,223,173.532148
1.0,148,173.692144
2.0,179,173.885548
2.0,215,174.114564
3.0,210,174.341592
3.0,243,174.601911
0.0,120,174.733038
0.0,120,174.864655
0.0,120,174.996976
2.0,195,175.204441
0.0,120,175.335728
1.0,148,175.496025
3.0,210,175.72348
2.0,195,175.933621
2.0,196,176.143848
3.0,223,176.381013
1.0,149,176.545203
2.0,196,176.755269
2.0,179,176.946852
0.0,120,177.078239
1.0,149,177.243263
2.0,195,177.451273
2.0,178,177.643876
0.0,120,177.776189
3.0,210,178.002528
3.0,210,178.228502
5.0,275,178.521909
0.0,121,178.653932
3.0,223,178.894187
2.0,195,179.102147
1.0,148,179.262103
6.0,324,179.689236
3.0,210,179.999326
0.0,120,180.133663
2.0,195,180.347655
2.0,195,180.555614
3.0,210,180.783626
0.0,120,180.914724
2.0,195,181.124684
3.0,210,181.349436
2.0,195,181.560237
2.0,197,181.770123
2.0,195,181.978809
2.0,178,182.16937
3.0,207,182.392481
1.0,149,182.553426
2.0,195,182.763026
3.0,223,183.001541
0.0,120,183.133977
2.0,179,183.326698
0.0,120,183.45732
0.0,120,183.588559
1.0,149,183.750891
3.0,210,183.974153
0.0,120,184.105021
2.0,195,184.31399
2.0,179,184.508019
3.0,210,184.734313
3.0,210,184.962193
2.0,179,185.155483
2.0,196,185.367122
3.0,223,185.603829
3.0,244,185.865811
3.0,227,186.107884
0.0,120,186.240208
3.0,223,186.480906
3.0,210,186.70749
2.0,179,186.899899
2.0,179,187.094461
0.0,120,187.227561
0.0,120,187.361179
0.0,120,187.493894
4.0,293,187.808566
2.0,179,188.004023
3.0,243,188.263671
3.0,223,188.500085
1.0,149,188.664437
3.0,225,188.907141
6.0,387,189.316362
2.0,195,189.526109
3.0,223,189.76707
3.0,244,190.026965
2.0,195,190.236448
3.0,225,190.479047
2.0,195,190.691193
0.0,120,190.822936
0.0,120,190.954839
2.0,179,191.148802
2.0,179,191.342043
0.0,120,191.473504
2.0,195,191.683118
5.0,292,191.994574
2.0,195,192.205631
4.0,293,192.515793
3.0,223,192.758515
